epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
381,1986-02-24,,Jeopardy,"(1, 1)",RULERS,12,"(100,)",False,"A descendant of Genghis Khan, this Mongol conqueror was also known as Timur the Lame",Tamerlane,1,0
381,1986-02-24,,Jeopardy,"(2, 1)",BOUNCE,13,"(100,)",False,"In slang, you're a ""paper hanger"" if you bounce one of these",a check,1,0
381,1986-02-24,,Jeopardy,"(3, 1)",THE HUMAN BODY,4,"(100,)",False,Part of your body which contains rods & cones,the eye,1,0
381,1986-02-24,,Jeopardy,"(4, 1)",MUSICAL GEOGRAPHY,1,"(100,)",False,"Roger Miller says it ""swings like a pendulum do""",England,0,3
381,1986-02-24,,Jeopardy,"(5, 1)",6-LETTER WORDS,5,"(100,)",False,Type of pigeon that doesn't need AAA maps,a homing pigeon,1,0
381,1986-02-24,,Jeopardy,"(6, 1)",MARXISMS,9,"(100,)",False,Groucho said he wouldn't belong to any club that would allow this,having me as a member,1,0
381,1986-02-24,,Jeopardy,"(1, 2)",RULERS,18,"(200,)",False,"""King of kings"" & ""Sun of the Aryans"", Mohammed Reza Pahlavi was better known as this",the Shah of Iran,1,0
381,1986-02-24,,Jeopardy,"(2, 2)",BOUNCE,14,"(200,)",False,Innovation of the Fleischer Brothers to aid cartoon audiences in following song lyrics,the bouncing ball,1,0
381,1986-02-24,,Jeopardy,"(3, 2)",THE HUMAN BODY,6,"(200,)",False,"The deciduous or ""milk"" type are your 1st set of these",teeth,1,0
381,1986-02-24,,Jeopardy,"(4, 2)",MUSICAL GEOGRAPHY,2,"(200,)",False,"Though ""the Midwest farmers' daughters...make you feel alright"", the Beach Boys prefer these",California girls,1,0
381,1986-02-24,,Jeopardy,"(5, 2)",6-LETTER WORDS,23,"(200,)",False,"To cut something off, like a magazine subscription",to cancel,1,0
381,1986-02-24,,Jeopardy,"(6, 2)",MARXISMS,10,"(200,)",False,"Completes ""I never forget a face, but in your case...""",I\'ll make an exception,1,0
381,1986-02-24,,Jeopardy,"(1, 3)",RULERS,19,"(300,)",False,"In 1613, Michael Romanov founded a dynasty which ruled this country for 300 years",Russia,1,0
381,1986-02-24,,Jeopardy,"(2, 3)",BOUNCE,15,"(300,)",False,"The season with ""bounce""",spring,0,3
381,1986-02-24,,Jeopardy,"(3, 3)",THE HUMAN BODY,7,"(300,)",False,"Secreted by B-cells in the Islets of Langerhans, it controls amount of glucose in the blood",insulin,1,0
381,1986-02-24,,Jeopardy,"(4, 3)",MUSICAL GEOGRAPHY,3,"(300,)",False,"It's where ""Matilda run"" after ""she took me money""",Venezuela,1,0
381,1986-02-24,,Jeopardy,"(5, 3)",6-LETTER WORDS,24,"(300,)",False,"From Latin ""robur"" meaning ""oak"", we get this word for possessing great strength",robust,1,0
381,1986-02-24,,Jeopardy,"(6, 3)",MARXISMS,25,"(300,)",False,"Feeling Harpo's pulse, Dr. Hackenbush said, ""Either he's dead or"" this ""has stopped""",my watch,1,0
381,1986-02-24,,Jeopardy,"(1, 4)",RULERS,20,"(400,)",False,"Constantine II, exiled in 1967, was last king of this country",Greece,1,0
381,1986-02-24,,Jeopardy,"(2, 4)",BOUNCE,16,"(400,)",False,Curly Neal is an expert in this bouncing art,dribbling a basketball,1,0
381,1986-02-24,,Jeopardy,"(3, 4)",THE HUMAN BODY,8,"(400,)",False,It's what the messenger RNA gets the message from,DNA,1,0
381,1986-02-24,,Jeopardy,"(4, 4)",MUSICAL GEOGRAPHY,22,"(400,)",False,"In ""Arthur's Theme"", ""The best you can do is fall in love"" when caught between the moon & here",New York City,1,0
381,1986-02-24,,Jeopardy,"(5, 4)",6-LETTER WORDS,26,"(400,)",False,To scoop the mud from the bottom of a channel or harbor; police do it to find the body,to dredge,1,0
381,1986-02-24,,Jeopardy,"(1, 5)",RULERS,21,"(500,)",False,"While many rulers have been called ""the Great"", Turkish sultan Suleiman I was called this",the Magnificent,1,0
381,1986-02-24,,Jeopardy,"(2, 5)",BOUNCE,17,"(500,)",True,"During World War II, the Navy used them to improve fliers' coordination & balance",trampolines,0,1
381,1986-02-24,,Jeopardy,"(3, 5)",THE HUMAN BODY,11,"(500,)",False,Sense organ which detects acceleration & position with respect to gravity,the ear,1,0
381,1986-02-24,,Jeopardy,"(4, 5)",MUSICAL GEOGRAPHY,28,"(500,)",False,"In 1977, Glen Campbell asked, ""Have you ever felt"" these, y'all","""Southern Nights""",0,3
381,1986-02-24,,Jeopardy,"(5, 5)",6-LETTER WORDS,27,"(500,)",False,"Petty officer in the U.S. Navy who performs clerical duties, or Janice Rand on ""Star Trek""",yeoman,0,3
381,1986-02-24,,Double Jeopardy,"(1, 1)",AMERICAN HISTORY,6,"(200,)",False,Year in which Ku Klux Klan was founded & Abraham Lincoln was assassinated,1865,1,0
381,1986-02-24,,Double Jeopardy,"(2, 1)",AUTHORS,1,"(200,)",False,"Though she wrote much about China, she called her native W.V. ""World's most beautiful place""",Pearl Buck,1,0
381,1986-02-24,,Double Jeopardy,"(3, 1)","""YOUNG"" & ""OLD""",9,"(200,)",False,Paul Robeson popularized this Oscar Hammerstein description of the Mississippi,Old Man River,1,0
381,1986-02-24,,Double Jeopardy,"(4, 1)",AUTO RACING,20,"(200,)",False,1 of 2 colors on the 3 flags used in U.S. to warn drivers of dangerous track conditions,red (or yellow),1,0
381,1986-02-24,,Double Jeopardy,"(5, 1)",INSECTS,7,"(200,)",False,Most species of adult insects have this many pairs of wings,2 pairs,1,0
381,1986-02-24,,Double Jeopardy,"(6, 1)",HODGEPODGE,13,"(200,)",False,"A colony of several thousand prairie dogs, or Grover's Corners",a town,0,3
381,1986-02-24,,Double Jeopardy,"(1, 2)",AMERICAN HISTORY,16,"(400,)",False,"First lady longer than anyone before or since, she held 1st press conference by a president's wife",Eleanor Roosevelt,1,0
381,1986-02-24,,Double Jeopardy,"(2, 2)",AUTHORS,2,"(400,)",False,"Expression ""I kid you not"" comes from this author's ""The Caine Mutiny""",Herman Wouk,1,1
